,query,type,gold_uid
0,tell me the best way to find your local bank regulator?,paraphrase,hj3Rfuw4Ma6B9MN5xKJY8J
1,tell me the correct way to find my state bank regulator?,paraphrase,hj3Rfuw4Ma6B9MN5xKJY8J
2,how can i find a local bank regulator?,paraphrase,hj3Rfuw4Ma6B9MN5xKJY8J
3,state bank regulator,keyword,hj3Rfuw4Ma6B9MN5xKJY8J
4,bank regulator,keyword,hj3Rfuw4Ma6B9MN5xKJY8J
5,is there any way to contact a debt collector for payments on a deceased relative's debts?,paraphrase,KitTQDCXSTZNxUhhMwPHpM
6,how can i contact a debt collector about my deceased relative's debts?,paraphrase,KitTQDCXSTZNxUhhMwPHpM
7,is it true that i am personally liable for my deceased relative's debts?,paraphrase,KitTQDCXSTZNxUhhMwPHpM
8,deceased relative debts,keyword,KitTQDCXSTZNxUhhMwPHpM
9,debt collector contact,keyword,KitTQDCXSTZNxUhhMwPHpM
10,how do i repay a payday loan and pay it back?,paraphrase,gBGm4SsW94nsUbEw2UG5GT
11,how do i get a payday loan when i can't repay it?,paraphrase,gBGm4SsW94nsUbEw2UG5GT
12,tell me the best way to pay off my payday loan?,paraphrase,gBGm4SsW94nsUbEw2UG5GT
13,payday loan,keyword,gBGm4SsW94nsUbEw2UG5GT
14,n’t repay,keyword,gBGm4SsW94nsUbEw2UG5GT
15,will the debts be discharged after the person dies?,paraphrase,gn6kqZNaUGfDnVBf7Yt9C4
16,does the debt owed by a man suddenly disappear when he dies?,paraphrase,gn6kqZNaUGfDnVBf7Yt9C4
17,is it true that if a debtor dies owing a debt will that debt disappear?,paraphrase,gn6kqZNaUGfDnVBf7Yt9C4
18,dies owing,keyword,gn6kqZNaUGfDnVBf7Yt9C4
19,owing a debt,keyword,gn6kqZNaUGfDnVBf7Yt9C4
20,is there any possibility of the dealer increase the interest rates after i drive a car home?,paraphrase,7T2JvSnbvWNNecQrvZmKs8
21,will the dealer increase the interest rate after i return my car?,paraphrase,7T2JvSnbvWNNecQrvZmKs8
22,can the dealer increase the interest rate after driving home?,paraphrase,7T2JvSnbvWNNecQrvZmKs8
23,vehicle home,keyword,7T2JvSnbvWNNecQrvZmKs8
24,dealer increase,keyword,7T2JvSnbvWNNecQrvZmKs8
25,is there credit insurance?,paraphrase,5Bwq5DzRaZG66xmW8cwqBw
26,tell me the best way to get an auto loan with credit insurance?,paraphrase,5Bwq5DzRaZG66xmW8cwqBw
27,are auto loan companies required to have credit insurance?,paraphrase,5Bwq5DzRaZG66xmW8cwqBw
28,purchase credit insurance,keyword,5Bwq5DzRaZG66xmW8cwqBw
29,auto loan,keyword,5Bwq5DzRaZG66xmW8cwqBw
30,how do you get a lawyer in your state?,paraphrase,eqKMrmvRKMnN2nyTi64Noz
31,how do i get an experienced attorney in our state?,paraphrase,eqKMrmvRKMnN2nyTi64Noz
