,title,text,uuid
0,How do I find my state's bank regulator?,Take a look at our list of state banking regulator contact information.,hj3Rfuw4Ma6B9MN5xKJY8J
1,Can I be personally responsible for paying my deceased relative's debts and can a debt collector contact me about those debts?,"In most cases you will not be responsible to pay off your deceased relative’s debts. As a general rule, no one else is obligated to pay the debt of a person who has died. There are some exceptions and the exceptions vary by state.",KitTQDCXSTZNxUhhMwPHpM
2,What can I do if I can’t repay my payday loan?,"If you’re having trouble repaying your payday loan, you might be able to ask your lender for an extended repayment plan.",gBGm4SsW94nsUbEw2UG5GT
3,"If someone dies owing a debt, does the debt go away when they die?","No, when someone dies owing a debt, the debt does not go away. Generally, the deceased person’s estate is responsible for paying any unpaid debts. The estate’s finances are handled by the personal representative, executor, or administrator. That person pays any debts from the money in the estate, not from their own money.",gn6kqZNaUGfDnVBf7Yt9C4
4,Can the dealer increase the interest rate after I drive the vehicle home?,"Some dealers will allow the customer to take possession of the new vehicle before the loan is approved by the lender. This practice is sometimes called “spot delivery.” In some cases after you drive away with the vehicle but before the sale is finalized, the dealership will later tell you that they couldn’t make the loan at the agreed-upon terms. They then may ask you to bring back the vehicle and renegotiate the loan for a higher interest rate, a longer term, a larger down payment, or a combination of those terms.",7T2JvSnbvWNNecQrvZmKs8
5,Am I required to purchase credit insurance from a lender or dealer to get an auto loan?,"No, generally you cannot be required to buy credit insurance. Lenders cannot deny you credit if you refuse to buy optional credit insurance. If you feel pressured to buy credit insurance, walk away and consider looking for a different dealer or lender.",5Bwq5DzRaZG66xmW8cwqBw
6,How do I find an attorney in my state?,"There are a number of ways to find an experienced attorney. Here are some suggestions, and a state-by-state listing of free legal aid programs.",eqKMrmvRKMnN2nyTi64Noz
7,Is there a limit to how many times a debt collector can call me?,"Federal law doesn’t give a specific limit on the number of calls a debt collector can place to you. A debt collector may not call you repeatedly or continuously intending to annoy, abuse, or harass you or others who share the number.",ANYoTWmFUuqEehMqGWCCaC
8,My mortgage lender told me it was exempt from the ability-to-repay mortgage rule. Is this true?,It could be. A few special types of lenders are exempt from the ability-to-repay rule.,6KbLtRTaXJgPoFFWYcdFqz
9,What do I do if the terms of my mortgage loan at closing are not what I was promised beforehand?,Don't sign the closing documents if the loan is not what you were promised.,HJjvJuCLmeEMxgYG2Cybmi
10,Do I need an attorney or anyone else to represent me when closing on a mortgage?,"It depends. Depending on your state’s laws, you may not be required to have an attorney at the closing.",eMxtHLNXTaCtuidMxYgKTt
11,My mortgage servicer says I never made my payment but I did. What can I do?,You should send a notice of error to your servicer.,LxcRoLUWQPHbm7EqhczkUf
12,What if I do not qualify for loan modification programs or any other help?,"If your home is about to be foreclosed on, call the CFPB at (855) 411-CFPB (2372) to be connected to a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor who will work with you to see if there are any options still available, as well as to provide you with guidance on your next steps.",ZPZ5gew4Q8PTxbs6jcGyNv
