query,type,gold_uid
information debt collector debt,keyword,RYaR2WYJssw5xcPvPXCJgp
credit union share draft account,keyword,7z2jYhbY4ZiG8DKHh2mSn3
can i apply for a credit card with one set of terms but was turned down and offered the chance to apply for a different card with different terms?,paraphrase,GgS3M8h8998z6nc5mPR5vA
if my credit card doesn't work what can i do?,paraphrase,CVcjcDMjxsqCizWrsT3R5u
request credit report child,keyword,CE3RKEmS4ujtA2TfE3v2KP
why do my debts not show up in my credit report?,paraphrase,VeSbuPsfsDh5XxQ8LH5qZC
tell difference debt relief organization credit counseling company,keyword,dJDH9LzfJAEvDZNmypii4E
how does a payroll card workplace billing system work? are there any fees?,paraphrase,WjNXwrsrkuXEuWXxXftu6x
why does a co-signer need to be the lender in order to get car financing?,paraphrase,XtgGJoXSC3ZPvL4kydNmB5
can i use a prepaid card in other countries?,paraphrase,35nvF7XW2YrWau3ksVFNL4
when we are sued for a dui what do we do if you can't go to court or a default judgment is entered because you didn't appear in court?,paraphrase,ed2Xtgr7YrcELS7WsjnXiw
s payoff,keyword,Kw7sgdHew7CHduoEELbdKg
possible deserve gi bill,keyword,5nQXeRyQ5B2jVKhiLGrurt
should i refinance my federal student loan with a lower rate?,paraphrase,SGtYAyKWhhKDH5WDodUAXn
i can't afford to pay a student loan what can i do?,paraphrase,aScNchhyxof4uQvWjUye5X
long find credit report error corrected,keyword,6EerzqgAKrT8RWGFx3ckD8
temporary assistance mortgage,keyword,RLzdbFg588ZBSdddeK7u6i
price addons extended warranty guaranteed auto protection gap insurance negotiable,keyword,hRUHBSrL8QUsodmwv4nFoU
tell kids saving investing,keyword,iQsGLNv9FrZK9b8NgUsgDE
s credit score,keyword,Xr25gnm3Z4uq7YV7ght5rU
how can i inform my daughter about the deductions on her income tax return?,paraphrase,MCKvpnk5uUZEhdyzw7TwYt
can i get a low interest rate on cds?,paraphrase,RtdYLEcB6s4z6bpDK2hPgW
what are short sale terms?,paraphrase,LrMojWphJoG2LrW5uhR3fm
is the credit repair program worth enrolling?,paraphrase,SxmxcjsYS57xsRuu2gVtMZ
time rescind,keyword,gtNKwdu3Qmep7fRduuMhQ3
how does a zero-rate balance transfer account work?,paraphrase,MKWRAL6DB9uX2UbzUNwVuh
use federal benefit card benefits,keyword,HANBhJDjuXNWJgoBd8hBhv
can a credit reporting agency know about my personal information?,paraphrase,dW2zyP4M2VDjxWp7eJJYkR
how do i obtain a free credit report?,paraphrase,SGM2ARoseU6iZz8JgVvmZH
how is pace funding implemented?,paraphrase,A7MJ3FQ3hjbgtG5gDWug7r
tell me the difference between a mortgage broker and a lender?,paraphrase,VkNkpr4HfxgpojP7PrdMn9
how will my student loans be repaid?,paraphrase,ghZQfnxGtRdsYngEdWm9Th
contact car dealer violating law,keyword,mX6kySdqmYTQHJiEDEzirm
how do you find out who to pay out on student loans for private students?,paraphrase,S3EXJvuC6Yzfe3vhBnVpWb
which are the better private and federal student loans?,paraphrase,aM5LGCi97zAaiKrp8fhJc8
tell use forbearance,keyword,ReonzERLTmSSoxmt9cjSpb
shopping explain children nt afford buy children want,keyword,F2UzjHxGeT7MdHe7fnLmft
